subset,method,n_pairs,top1_accuracy,top3_recall,mrr
all,string_similarity,1200,0.33666666666666667,0.43666666666666665,0.3818055555555554
all,slug_only,1200,0.12666666666666668,0.18416666666666667,0.15361111111111111
all,content_based,1200,0.1625,0.25833333333333336,0.2043055555555557
old_covered,string_similarity,896,0.375,0.4877232142857143,0.42633928571428553
old_covered,slug_only,896,0.12611607142857142,0.16741071428571427,0.14490327380952378
old_covered,content_based,896,0.21763392857142858,0.34598214285714285,0.27362351190476214
target_in_pool,string_similarity,665,0.6075187969924812,0.7879699248120301,0.6889724310776939
target_in_pool,slug_only,665,0.22857142857142856,0.3323308270676692,0.2771929824561404
target_in_pool,content_based,665,0.2932330827067669,0.46616541353383456,0.36867167919799526
old_covered_target_in_pool,string_similarity,517,0.6499032882011605,0.8452611218568665,0.738878143133462
old_covered_target_in_pool,slug_only,517,0.218568665377176,0.2901353965183752,0.25112830431979366
old_covered_target_in_pool,content_based,517,0.3771760154738878,0.5996131528046421,0.4742101869761448
core_old_covered,string_similarity,597,0.27638190954773867,0.3500837520938023,0.31099944165270804
core_old_covered,slug_only,597,0.10552763819095477,0.1440536013400335,0.12311557788944724
core_old_covered,content_based,597,0.08877721943048576,0.15912897822445563,0.11781127861529876
